fy,abbr,state,County,County 2,"County, State",Local Board,type,count,avgWage,MedianWageByCounty
FY 2024,OH,Ohio,Defiance County,Defiance,"Defiance, OH",,New Apprentices,10,31.704,30.77
FY 2024,OH,Ohio,Columbiana County,Columbiana,"Columbiana, OH",,New Apprentices,10,17.6875,15.625
FY 2024,OH,Ohio,Ross County,Ross,"Ross, OH",,New Apprentices,9,29.51666667,28.56
FY 2024,OH,Ohio,Henry County,Henry,"Henry, OH",,New Apprentices,9,17.72222222,17.5
FY 2024,OH,Ohio,Erie County,Erie,"Erie, OH",,New Apprentices,8,25.96375,25.8
FY 2024,OH,Ohio,Shelby County,Shelby,"Shelby, OH",,New Apprentices,7,20.07,17
FY 2024,OH,Ohio,Seneca County,Seneca,"Seneca, OH",,New Apprentices,6,23.615,23.93
FY 2024,OH,Ohio,Coshocton County,Coshocton,"Coshocton, OH",,New Apprentices,6,31.73,31.73
FY 2024,OH,Ohio,Tuscarawas County,Tuscarawas,"Tuscarawas, OH",,New Apprentices,5,21.618,23.69
FY 2024,OH,Ohio,Sandusky County,Sandusky,"Sandusky, OH",,New Apprentices,5,25.526,27.38
FY 2024,OH,Ohio,Lawrence County,Lawrence,"Lawrence, OH",,New Apprentices,3,22.79666667,22.22
FY 2024,OH,Ohio,Delaware County,Delaware,"Delaware, OH",,New Apprentices,2,22.67,22.67
FY 2024,OH,Ohio,Darke County,Darke,"Darke, OH",,New Apprentices,2,24.365,24.365
FY 2024,OH,Ohio,Preble County,Preble,"Preble, OH",,New Apprentices,1,22.7,22.7
FY 2024,OH,Ohio,Ottawa County,Ottawa,"Ottawa, OH",,New Apprentices,1,17,17
FY 2024,OH,Ohio,Ashtabula County,Ashtabula,"Ashtabula, OH",,New Apprentices,1,32.32,32.32
FY 2024,WA,Washington,King County,King,"King, WA",,New Apprentices,4611,25.16439818,21.89
FY 2024,WA,Washington,Kitsap County,Kitsap,"Kitsap, WA",,New Apprentices,1385,22.40155235,22.32
FY 2024,WA,Washington,Clark County,Clark,"Clark, WA",,New Apprentices,692,30.59052023,28.36
FY 2024,WA,Washington,Spokane County,Spokane,"Spokane, WA",,New Apprentices,427,22.0712178,20.66
FY 2024,WA,Washington,Snohomish County,Snohomish,"Snohomish, WA",,New Apprentices,413,22.57198547,16.3
FY 2024,WA,Washington,Thurston County,Thurston,"Thurston, WA",,New Apprentices,350,16.15011429,16.28
FY 2024,WA,Washington,Skagit County,Skagit,"Skagit, WA",,New Apprentices,287,24.11264808,22
FY 2024,WA,Washington,Franklin County,Franklin,"Franklin, WA",,New Apprentices,276,27.18358696,25.65
FY 2024,WA,Washington,Pierce County,Pierce,"Pierce, WA",,New Apprentices,201,26.59442786,25.44
FY 2024,WA,Washington,Kittitas County,Kittitas,"Kittitas, WA",,New Apprentices,117,37.51948718,36.84
FY 2024,WA,Washington,Benton County,Benton,"Benton, WA",,New Apprentices,107,23.87775701,23.2
FY 2024,WA,Washington,Whatcom County,Whatcom,"Whatcom, WA",,New Apprentices,102,17.38215686,16.28
FY 2024,WA,Washington,Yakima County,Yakima,"Yakima, WA",,New Apprentices,22,20.16727273,19.075
FY 2024,WA,Washington,Mason County,Mason,"Mason, WA",,New Apprentices,21,19.21095238,15.49
FY 2024,WA,Washington,Island County,Island,"Island, WA",,New Apprentices,21,23.08095238,21.3
FY 2024,WA,Washington,Klickitat County,Klickitat,"Klickitat, WA",,New Apprentices,15,11.88,11.88
FY 2024,WA,Washington,Chelan County,Chelan,"Chelan, WA",,New Apprentices,11,38.54454545,43.53
FY 2024,WA,Washington,Walla Walla County,Walla Walla,"Walla Walla, WA",,New Apprentices,6,31.2,31.2
FY 2024,WA,Washington,Grant County,Grant,"Grant, WA",,New Apprentices,6,36.68,32.57
FY 2024,WA,Washington,Pacific County,Pacific,"Pacific, WA",,New Apprentices,5,30.772,26.46
FY 2024,WA,Washington,Lewis County,Lewis,"Lewis, WA",,New Apprentices,4,32.7525,31.275
FY 2024,WA,Washington,Okanogan County,Okanogan,"Okanogan, WA",,New Apprentices,3,47.76666667,48.89
FY 2024,WA,Washington,Grays Harbor County,Grays Harbor,"Grays Harbor, WA",,New Apprentices,3,55.11,49.47
FY 2024,WA,Washington,Cowlitz County,Cowlitz,"Cowlitz, WA",,New Apprentices,3,41.11333333,43.36
FY 2024,WA,Washington,San Juan County,San Juan,"San Juan, WA",,New Apprentices,2,15.74,15.74
FY 2024,WA,Washington,Clallam County,Clallam,"Clallam, WA",,New Apprentices,2,35.73,35.73
FY 2024,WA,Washington,Skamania County,Skamania,"Skamania, WA",,New Apprentices,1,42.74,42.74
FY 2024,WA,Washington,Douglas County,Douglas,"Douglas, WA",,New Apprentices,1,15.74,15.74
FY 2024,MI,Michigan,Wayne County,Wayne,"Wayne, MI",,New Apprentices,1816,22.83096916,22.53
FY 2024,MI,Michigan,Shiawassee County,Shiawassee,"Shiawassee, MI",,New Apprentices,917,16.50163577,16.5
FY 2024,MI,Michigan,Oakland County,Oakland,"Oakland, MI",,New Apprentices,792,21.45367424,21
FY 2024,MI,Michigan,Ingham County,Ingham,"Ingham, MI",,New Apprentices,730,20.7715374,19.975
FY 2024,MI,Michigan,Kent County,Kent,"Kent, MI",,New Apprentices,668,19.56805389,18
FY 2024,MI,Michigan,Macomb County,Macomb,"Macomb, MI",,New Apprentices,630,22.63892063,22.31
FY 2024,MI,Michigan,Calhoun County,Calhoun,"Calhoun, MI",,New Apprentices,333,35.56522523,41.14
FY 2024,MI,Michigan,Kalamazoo County,Kalamazoo,"Kalamazoo, MI",,New Apprentices,330,19.5859697,21.06
FY 2024,MI,Michigan,Ottawa County,Ottawa,"Ottawa, MI",,New Apprentices,286,20.90297203,20.09
FY 2024,MI,Michigan,Genesee County,Genesee,"Genesee, MI",,New Apprentices,262,22.09927481,18
FY 2024,MI,Michigan,Livingston County,Livingston,"Livingston, MI",,New Apprentices,252,17.95329365,17.54
FY 2024,MI,Michigan,Grand Traverse County,Grand Traverse,"Grand Traverse, MI",,New Apprentices,228,19.25570175,17.5
FY 2024,MI,Michigan,Washtenaw County,Washtenaw,"Washtenaw, MI",,New Apprentices,198,18.58597884,17.99
FY 2024,MI,Michigan,Saginaw County,Saginaw,"Saginaw, MI",,New Apprentices,170,24.62788235,22.75
FY 2024,MI,Michigan,Eaton County,Eaton,"Eaton, MI",,New Apprentices,153,22.31078431,19.34
FY 2024,MI,Michigan,Marquette County,Marquette,"Marquette, MI",,New Apprentices,131,15.21687023,13.96
FY 2024,MI,Michigan,Berrien County,Berrien,"Berrien, MI",,New Apprentices,118,21.06033898,22.05
FY 2024,MI,Michigan,Iosco County,Iosco,"Iosco, MI",,New Apprentices,94,16.65957447,17
FY 2024,MI,Michigan,Bay County,Bay,"Bay, MI",,New Apprentices,85,19.55270588,16.76
FY 2024,MI,Michigan,Jackson County,Jackson,"Jackson, MI",,New Apprentices,74,18.27337838,18
FY 2024,MI,Michigan,Midland County,Midland,"Midland, MI",,New Apprentices,55,17.73981818,17
FY 2024,MI,Michigan,Delta County,Delta,"Delta, MI",,New Apprentices,45,19.37266667,17.97
FY 2024,MI,Michigan,Muskegon County,Muskegon,"Muskegon, MI",,New Apprentices,42,21.88809524,20.21
FY 2024,MI,Michigan,Van Buren County,Van Buren,"Van Buren, MI",,New Apprentices,40,15.2825,15
FY 2024,MI,Michigan,Allegan County,Allegan,"Allegan, MI",,New Apprentices,40,19.43,16
FY 2024,MI,Michigan,Montcalm County,Montcalm,"Montcalm, MI",,New Apprentices,28,19.92535714,20
FY 2024,MI,Michigan,Monroe County,Monroe,"Monroe, MI",,New Apprentices,27,20.41962963,18.03
FY 2024,MI,Michigan,Huron County,Huron,"Huron, MI",,New Apprentices,26,25.15076923,26.36
FY 2024,MI,Michigan,Wexford County,Wexford,"Wexford, MI",,New Apprentices,19,29.71578947,28.94
FY 2024,MI,Michigan,Isabella County,Isabella,"Isabella, MI",,New Apprentices,19,15.14,15
FY 2024,MI,Michigan,St. Clair County,St. Clair,"St. Clair, MI",,New Apprentices,17,16.28235294,16.8
FY 2024,MI,Michigan,St. Joseph County,St. Joseph,"St. Joseph, MI",,New Apprentices,16,21.4825,23.92
FY 2024,MI,Michigan,Ionia County,Ionia,"Ionia, MI",,New Apprentices,16,23.45875,26.63
FY 2024,MI,Michigan,Tuscola County,Tuscola,"Tuscola, MI",,New Apprentices,13,22.91153846,23
FY 2024,MI,Michigan,Newaygo County,Newaygo,"Newaygo, MI",,New Apprentices,9,25.12,25.94
FY 2024,MI,Michigan,Clinton County,Clinton,"Clinton, MI",,New Apprentices,9,20.70222222,16
FY 2024,MI,Michigan,Clare County,Clare,"Clare, MI",,New Apprentices,7,15.42857143,15.75
FY 2024,MI,Michigan,Barry County,Barry,"Barry, MI",,New Apprentices,7,25.08857143,28.64
FY 2024,MI,Michigan,Osceola County,Osceola,"Osceola, MI",,New Apprentices,6,24.385,27.11
FY 2024,MI,Michigan,Mason County,Mason,"Mason, MI",,New Apprentices,6,21.02,19.415
FY 2024,MI,Michigan,Mecosta County,Mecosta,"Mecosta, MI",,New Apprentices,5,18.324,18.94
FY 2024,MI,Michigan,Lapeer County,Lapeer,"Lapeer, MI",,New Apprentices,5,24.662,23.78
FY 2024,MI,Michigan,Hillsdale County,Hillsdale,"Hillsdale, MI",,New Apprentices,5,33.102,32.34
FY 2024,MI,Michigan,Sanilac County,Sanilac,"Sanilac, MI",,New Apprentices,4,18.035,18.05
FY 2024,MI,Michigan,Houghton County,Houghton,"Houghton, MI",,New Apprentices,4,20,17.5
FY 2024,MI,Michigan,Crawford County,Crawford,"Crawford, MI",,New Apprentices,4,26.12,26.12
FY 2024,MI,Michigan,Menominee County,Menominee,"Menominee, MI",,New Apprentices,3,26.83333333,33.5
FY 2024,MI,Michigan,Emmet County,Emmet,"Emmet, MI",,New Apprentices,3,15.6,15.6
FY 2024,MI,Michigan,Alpena County,Alpena,"Alpena, MI",,New Apprentices,3,40.58333333,37.88
FY 2024,MI,Michigan,Roscommon County,Roscommon,"Roscommon, MI",,New Apprentices,2,16.375,16.375
FY 2024,MI,Michigan,Otsego County,Otsego,"Otsego, MI",,New Apprentices,2,28.565,28.565
FY 2024,MI,Michigan,Branch County,Branch,"Branch, MI",,New Apprentices,2,23.805,23.805
FY 2024,MI,Michigan,Manistee County,Manistee,"Manistee, MI",,New Apprentices,1,26.94,26.94
FY 2024,MI,Michigan,Lenawee County,Lenawee,"Lenawee, MI",,New Apprentices,1,22,22
FY 2024,MI,Michigan,Iron County,Iron,"Iron, MI",,New Apprentices,1,29.03,29.03
FY 2024,MI,Michigan,Dickinson County,Dickinson,"Dickinson, MI",,New Apprentices,1,24.5,24.5
FY 2024,MI,Michigan,Chippewa County,Chippewa,"Chippewa, MI",,New Apprentices,1,23.06,23.06
FY 2024,MI,Michigan,Cass County,Cass,"Cass, MI",,New Apprentices,1,17,17
FY 2024,MI,Michigan,Antrim County,Antrim,"Antrim, MI",,New Apprentices,1,19,19
FY 2024,MI,Michigan,Alcona County,Alcona,"Alcona, MI",,New Apprentices,1,18,18
FY 2024,VA,Virginia,Arlington County,Arlington,"Arlington, VA",,New Apprentices,1560,13.35664744,12
FY 2024,VA,Virginia,Fairfax County,Fairfax,"Fairfax, VA",,New Apprentices,739,19.81091988,20
FY 2024,VA,Virginia,Newport News City,Newport News City,"Newport News City, VA",,New Apprentices,435,19.79013228,21.74
FY 2024,VA,Virginia,Richmond City,Richmond City,"Richmond City, VA",,New Apprentices,357,15.09714976,12
FY 2024,VA,Virginia,Henrico County,Henrico,"Henrico, VA",,New Apprentices,309,17.37854369,17
FY 2024,VA,Virginia,Chesterfield County,Chesterfield,"Chesterfield, VA",,New Apprentices,308,16.35506494,15.82
FY 2024,VA,Virginia,Hanover County,Hanover,"Hanover, VA",,New Apprentices,296,16.49033784,16.5
FY 2024,VA,Virginia,Virginia Beach City,Virginia Beach City,"Virginia Beach City, VA",,New Apprentices,193,16.28476684,16
FY 2024,VA,Virginia,Norfolk City,Norfolk City,"Norfolk City, VA",,New Apprentices,193,15.72326425,15.33
FY 2024,VA,Virginia,Lynchburg City,Lynchburg City,"Lynchburg City, VA",,New Apprentices,156,17.63089744,16
FY 2024,VA,Virginia,Chesapeake City,Chesapeake City,"Chesapeake City, VA",,New Apprentices,149,15.76449664,16
FY 2024,VA,Virginia,Portsmouth City,Portsmouth City,"Portsmouth City, VA",,New Apprentices,145,14.61475862,14.38
FY 2024,VA,Virginia,Loudoun County,Loudoun,"Loudoun, VA",,New Apprentices,133,16.20360902,16
FY 2024,VA,Virginia,Prince William County,Prince William,"Prince William, VA",,New Apprentices,102,19.38872549,18
FY 2024,VA,Virginia,Colonial Heights City,Colonial Heights City,"Colonial Heights City, VA",,New Apprentices,79,20.7278481,21.39
FY 2024,VA,Virginia,Alexandria City,Alexandria City,"Alexandria City, VA",,New Apprentices,75,21.8468,20
FY 2024,VA,Virginia,Augusta County,Augusta,"Augusta, VA",,New Apprentices,73,18.62246575,18
FY 2024,VA,Virginia,Roanoke County,Roanoke,"Roanoke, VA",,New Apprentices,70,15.56714286,16
FY 2024,VA,Virginia,Pulaski County,Pulaski,"Pulaski, VA",,New Apprentices,69,18.1842029,15
FY 2024,VA,Virginia,Charlottesville City,Charlottesville City,"Charlottesville City, VA",,New Apprentices,53,15.21698113,14
FY 2024,VA,Virginia,Rockingham County,Rockingham,"Rockingham, VA",,New Apprentices,47,17.35468085,16
FY 2024,VA,Virginia,Roanoke City,Roanoke City,"Roanoke City, VA",,New Apprentices,40,27.30225,30.3
FY 2024,VA,Virginia,Harrisonburg City,Harrisonburg City,"Harrisonburg City, VA",,New Apprentices,38,16.33578947,15
FY 2024,VA,Virginia,Spotsylvania County,Spotsylvania,"Spotsylvania, VA",,New Apprentices,37,17.78378378,15
FY 2024,VA,Virginia,Albemarle County,Albemarle,"Albemarle, VA",,New Apprentices,35,17.5,20.75
FY 2024,VA,Virginia,Prince George County,Prince George,"Prince George, VA",,New Apprentices,29,24.20413793,24.64
FY 2024,VA,Virginia,Franklin County,Franklin,"Franklin, VA",,New Apprentices,28,14.91071429,14
FY 2024,VA,Virginia,James City County,James City,"James City, VA",,New Apprentices,27,14.36444444,12
FY 2024,VA,Virginia,Bedford County,Bedford,"Bedford, VA",,New Apprentices,24,18.35708333,15
FY 2024,VA,Virginia,Isle of Wight County,Isle of Wight,"Isle of Wight, VA",,New Apprentices,23,21.27,23.05
FY 2024,VA,Virginia,Waynesboro City,Waynesboro City,"Waynesboro City, VA",,New Apprentices,19,17.31368421,18
FY 2024,VA,Virginia,York County,York,"York, VA",,New Apprentices,18,12.77444444,12.38
FY 2024,VA,Virginia,Petersburg City,Petersburg City,"Petersburg City, VA",,New Apprentices,18,16.32944444,12
FY 2024,VA,Virginia,Hampton City,Hampton City,"Hampton City, VA",,New Apprentices,18,17.44722222,15.67
FY 2024,VA,Virginia,Halifax County,Halifax,"Halifax, VA",,New Apprentices,17,20.89588235,20
FY 2024,VA,Virginia,Frederick County,Frederick,"Frederick, VA",,New Apprentices,17,17.02705882,18
FY 2024,VA,Virginia,Caroline County,Caroline,"Caroline, VA",,New Apprentices,17,20,19.51
FY 2024,VA,Virginia,Montgomery County,Montgomery,"Montgomery, VA",,New Apprentices,15,14.78,14
FY 2024,VA,Virginia,Winchester City,Winchester City,"Winchester City, VA",,New Apprentices,12,15.6425,13.23
FY 2024,VA,Virginia,Salem City,Salem City,"Salem City, VA",,New Apprentices,11,25.49636364,29.89
FY 2024,VA,Virginia,Suffolk City,Suffolk City,"Suffolk City, VA",,New Apprentices,10,14.55,14.5
FY 2024,VA,Virginia,Powhatan County,Powhatan,"Powhatan, VA",,New Apprentices,10,18.15,17.25
FY 2024,VA,Virginia,Danville City,Danville City,"Danville City, VA",,New Apprentices,10,16.397,15.5
FY 2024,VA,Virginia,Stafford County,Stafford,"Stafford, VA",,New Apprentices,9,16.52111111,15
FY 2024,VA,Virginia,Middlesex County,Middlesex,"Middlesex, VA",,New Apprentices,9,16.07888889,16
FY 2024,VA,Virginia,Manassas City,Manassas City,"Manassas City, VA",,New Apprentices,9,19,18
FY 2024,VA,Virginia,Botetourt County,Botetourt,"Botetourt, VA",,New Apprentices,9,15.58333333,15.75
FY 2024,VA,Virginia,Shenandoah County,Shenandoah,"Shenandoah, VA",,New Apprentices,8,20,20
FY 2024,VA,Virginia,Rockbridge County,Rockbridge,"Rockbridge, VA",,New Apprentices,8,16.62,17.62
FY 2024,VA,Virginia,Alleghany County,Alleghany,"Alleghany, VA",,New Apprentices,8,14.98,12
FY 2024,VA,Virginia,Wythe County,Wythe,"Wythe, VA",,New Apprentices,7,15.42857143,14.5
FY 2024,VA,Virginia,Washington County,Washington,"Washington, VA",,New Apprentices,7,23.52285714,27
FY 2024,VA,Virginia,Norton City,Norton City,"Norton City, VA",,New Apprentices,6,12,12
FY 2024,VA,Virginia,Nelson County,Nelson,"Nelson, VA",,New Apprentices,6,19.4,19.4
FY 2024,VA,Virginia,Culpeper County,Culpeper,"Culpeper, VA",,New Apprentices,6,19.81666667,17.5
FY 2024,VA,Virginia,Brunswick County,Brunswick,"Brunswick, VA",,New Apprentices,6,15.33333333,16
FY 2024,VA,Virginia,Fauquier County,Fauquier,"Fauquier, VA",,New Apprentices,5,12.6,12
FY 2024,VA,Virginia,Nottoway County,Nottoway,"Nottoway, VA",,New Apprentices,4,23.4875,22.65
FY 2024,VA,Virginia,Lancaster County,Lancaster,"Lancaster, VA",,New Apprentices,4,12,12
FY 2024,VA,Virginia,King George County,King George,"King George, VA",,New Apprentices,4,12.75,12
FY 2024,VA,Virginia,Fredericksburg City,Fredericksburg City,"Fredericksburg City, VA",,New Apprentices,4,13,13
FY 2024,VA,Virginia,Charles City County,Charles City,"Charles City, VA",,New Apprentices,4,19.83,19.83
FY 2024,VA,Virginia,Wise County,Wise,"Wise, VA",,New Apprentices,3,12.66666667,13
FY 2024,VA,Virginia,Staunton City,Staunton City,"Staunton City, VA",,New Apprentices,3,14.66666667,12
FY 2024,VA,Virginia,Smyth County,Smyth,"Smyth, VA",,New Apprentices,3,13.66666667,12
FY 2024,VA,Virginia,Richmond County,Richmond,"Richmond, VA",,New Apprentices,3,19.97,19.21
FY 2024,VA,Virginia,Lee County,Lee,"Lee, VA",,New Apprentices,3,,0.12
FY 2024,VA,Virginia,Gloucester County,Gloucester,"Gloucester, VA",,New Apprentices,3,15.83333333,15.5
FY 2024,VA,Virginia,Fluvanna County,Fluvanna,"Fluvanna, VA",,New Apprentices,3,15.33333333,17
FY 2024,VA,Virginia,Dinwiddie County,Dinwiddie,"Dinwiddie, VA",,New Apprentices,3,13.33333333,13
FY 2024,VA,Virginia,Dickenson County,Dickenson,"Dickenson, VA",,New Apprentices,3,21.42,26.13
FY 2024,VA,Virginia,Warren County,Warren,"Warren, VA",,New Apprentices,2,20.75,20.75
FY 2024,VA,Virginia,Scott County,Scott,"Scott, VA",,New Apprentices,2,24.92,24.92
FY 2024,VA,Virginia,Russell County,Russell,"Russell, VA",,New Apprentices,2,15.5,15.5
FY 2024,VA,Virginia,Prince Edward County,Prince Edward,"Prince Edward, VA",,New Apprentices,2,13.5,13.5
FY 2024,VA,Virginia,Pittsylvania County,Pittsylvania,"Pittsylvania, VA",,New Apprentices,2,32.935,32.935
FY 2024,VA,Virginia,Page County,Page,"Page, VA",,New Apprentices,2,13.65,13.65
FY 2024,VA,Virginia,Mecklenburg County,Mecklenburg,"Mecklenburg, VA",,New Apprentices,2,23.67,23.67
FY 2024,VA,Virginia,Louisa County,Louisa,"Louisa, VA",,New Apprentices,2,12.25,12.25
FY 2024,VA,Virginia,Franklin City,Franklin City,"Franklin City, VA",,New Apprentices,2,12,12
FY 2024,VA,Virginia,Campbell County,Campbell,"Campbell, VA",,New Apprentices,2,13,13
FY 2024,VA,Virginia,Bristol City,Bristol City,"Bristol City, VA",,New Apprentices,2,13,13
FY 2024,VA,Virginia,Tazewell County,Tazewell,"Tazewell, VA",,New Apprentices,1,22,22
FY 2024,VA,Virginia,Surry County,Surry,"Surry, VA",,New Apprentices,1,16,16
FY 2024,VA,Virginia,Northampton County,Northampton,"Northampton, VA",,New Apprentices,1,21,21
FY 2024,VA,Virginia,New Kent County,New Kent,"New Kent, VA",,New Apprentices,1,15,15
FY 2024,VA,Virginia,Madison County,Madison,"Madison, VA",,New Apprentices,1,24,24
FY 2024,VA,Virginia,King William County,King William,"King William, VA",,New Apprentices,1,12,12
FY 2024,VA,Virginia,Henry County,Henry,"Henry, VA",,New Apprentices,1,12,12
FY 2024,VA,Virginia,Giles County,Giles,"Giles, VA",,New Apprentices,1,15,15
FY 2024,VA,Virginia,Floyd County,Floyd,"Floyd, VA",,New Apprentices,1,12,12
FY 2024,VA,Virginia,Bland County,Bland,"Bland, VA",,New Apprentices,1,22.53,22.53
FY 2024,PA,Pennsylvania,Lancaster County,Lancaster,"Lancaster, PA",,New Apprentices,1356,22.200199,21.45
FY 2024,PA,Pennsylvania,Philadelphia County,Philadelphia,"Philadelphia, PA",,New Apprentices,1347,23.56799392,22.65
FY 2024,PA,Pennsylvania,Allegheny County,Allegheny,"Allegheny, PA",,New Apprentices,1266,21.125,21.39
FY 2024,PA,Pennsylvania,Berks County,Berks,"Berks, PA",,New Apprentices,374,19.93385027,20
FY 2024,PA,Pennsylvania,Dauphin County,Dauphin,"Dauphin, PA",,New Apprentices,258,20.81569767,20.68
FY 2024,PA,Pennsylvania,Montgomery County,Montgomery,"Montgomery, PA",,New Apprentices,234,22.62016129,21
FY 2024,PA,Pennsylvania,Chester County,Chester,"Chester, PA",,New Apprentices,210,18.35114286,17
FY 2024,PA,Pennsylvania,Westmoreland County,Westmoreland,"Westmoreland, PA",,New Apprentices,193,20.69025907,20.09
FY 2024,PA,Pennsylvania,Bucks County,Bucks,"Bucks, PA",,New Apprentices,124,17.80395161,15
FY 2024,PA,Pennsylvania,Butler County,Butler,"Butler, PA",,New Apprentices,122,23.49098361,21.67
FY 2024,PA,Pennsylvania,York County,York,"York, PA",,New Apprentices,110,21.9264486,22
FY 2024,PA,Pennsylvania,Lycoming County,Lycoming,"Lycoming, PA",,New Apprentices,110,26.23527273,27.095
FY 2024,PA,Pennsylvania,Lebanon County,Lebanon,"Lebanon, PA",,New Apprentices,66,22.57621212,21.945
FY 2024,PA,Pennsylvania,Erie County,Erie,"Erie, PA",,New Apprentices,63,16.8072,18.15
FY 2024,PA,Pennsylvania,Delaware County,Delaware,"Delaware, PA",,New Apprentices,56,20.51839286,20.55
FY 2024,PA,Pennsylvania,Luzerne County,Luzerne,"Luzerne, PA",,New Apprentices,46,20.19804348,17.795
FY 2024,PA,Pennsylvania,Lackawanna County,Lackawanna,"Lackawanna, PA",,New Apprentices,31,20.45451613,16.56
FY 2024,PA,Pennsylvania,Washington County,Washington,"Washington, PA",,New Apprentices,26,39.83461538,31.455
FY 2024,PA,Pennsylvania,Clearfield County,Clearfield,"Clearfield, PA",,New Apprentices,23,11.15545455,12.62
FY 2024,PA,Pennsylvania,Lehigh County,Lehigh,"Lehigh, PA",,New Apprentices,22,21.90227273,16.57
